timestamp,intensity
0,-457.0
0.06,-464.0
0.13,-467.0
0.19,-461.0
0.25,-494.0
0.32,-500.0
0.38,-472.0
0.44,-469.0
0.5,-448.0
0.57,-452.0
0.63,-450.0
0.69,-452.0
0.76,-443.0
0.82,-447.0
0.88,-453.0
0.94,-469.0
1.01,-462.0
1.07,-456.0
1.13,-462.0
1.2,-453.0
1.26,-466.0
1.32,-461.0
1.39,-457.0
1.45,-448.0
1.51,-462.0
1.57,-475.0
1.64,-477.0
1.7,-476.0
1.76,-480.0
1.83,-477.0
1.89,-493.0
1.95,-491.0
2.02,-490.0
2.08,-484.0
2.14,-510.0
2.2,-539.0
2.27,-535.0
2.33,-541.0
2.39,-541.0
2.46,-527.0
2.52,-533.0
2.58,-541.0
2.65,-530.0
2.71,-538.0
2.77,-546.0
2.84,-531.0
2.9,-539.0
2.96,-534.0
3.02,-515.0
3.09,-529.0
3.15,-517.0
3.21,-516.0
3.28,-504.0
3.34,-507.0
3.4,-497.0
3.47,-512.0
3.53,-509.0
3.59,-520.0
3.65,-517.0
3.72,-499.0
3.78,-494.0
3.84,-494.0
3.91,-468.0
3.97,-472.0
4.03,-466.0
4.1,-459.0
4.16,-439.0
4.22,-441.0
4.28,-455.0
4.35,-427.0
4.41,-412.0
4.47,-397.0
4.54,-399.0
4.6,-404.0
4.66,-380.0
4.73,-342.0
4.79,-313.0
4.85,-294.0
4.91,-260.0
4.98,-226.0
5.04,-230.0
5.1,-204.0
5.17,-189.0
5.23,-165.0
5.29,-137.0
5.35,-132.0
5.42,-138.0
5.48,-128.0
5.54,-108.0
5.61,-102.0
5.67,-100.0
5.73,-81.0
5.8,-91.0
5.86,-82.0
5.92,-97.0
5.98,-105.0
6.05,-75.0
6.11,-75.0
6.17,-63.0
6.24,-87.0
6.3,-85.0
6.36,-48.0
6.43,-48.0
6.49,-65.0
6.55,-79.0
6.61,-48.0
6.68,-67.0
6.74,-35.0
6.8,-46.0
6.87,-34.0
6.93,-6.0
6.99,-13.0
7.06,-11.0
7.12,-11.0
7.18,10.0
7.24,24.0
7.31,4.0
7.37,-2.0
7.43,-5.0
7.5,-6.0
7.56,-10.0
7.62,-14.0
7.69,-24.0
7.75,-29.0
7.81,-29.0
7.87,-21.0
7.94,-18.0
8.0,-23.0
8.06,-20.0
8.13,-27.0
8.19,-42.0
8.25,-43.0
8.32,-45.0
8.38,-35.0
8.44,-24.0
8.5,-19.0
8.57,-25.0
8.63,-26.0
8.69,-19.0
8.76,-3.0
8.82,0.0
8.88,13.0
8.95,34.0
9.01,35.0
9.07,5.0
9.13,7.0
9.2,6.0
9.26,12.0
9.32,10.0
9.39,1.0
9.45,2.0
9.51,-19.0
9.58,-53.0
9.64,-45.0
9.7,-44.0
9.77,-37.0
9.83,-61.0
9.89,-54.0
9.95,-63.0
10.02,-104.0
10.08,-94.0
10.14,-132.0
10.21,-129.0
10.27,-159.0
10.33,-167.0
10.4,-159.0
10.46,-153.0
10.52,-167.0
10.58,-169.0
10.65,-173.0
10.71,-191.0
10.77,-234.0
10.84,-224.0
10.9,-226.0
10.96,-204.0
11.03,-210.0
11.09,-209.0
11.15,-227.0
11.21,-224.0
11.28,-229.0
11.34,-229.0
11.4,-224.0
11.47,-211.0
11.53,-197.0
11.59,-198.0
11.66,-165.0
11.72,-150.0
11.78,-169.0
11.84,-151.0
11.91,-148.0
11.97,-152.0
12.03,-119.0
12.1,-100.0
12.16,-114.0
12.22,-119.0
12.29,-85.0
12.35,-125.0
12.41,-115.0
12.47,-123.0
12.54,-154.0
12.6,-130.0
12.66,-147.0
12.73,-133.0
12.79,-149.0
12.85,-158.0
12.92,-163.0
12.98,-175.0
13.04,-171.0
13.1,-152.0
13.17,-143.0
13.23,-143.0
13.29,-166.0
13.36,-189.0
13.42,-216.0
13.48,-209.0
13.55,-214.0
13.61,-224.0
13.67,-249.0
13.73,-253.0
13.8,-268.0
13.86,-290.0
13.92,-276.0
13.99,-281.0
14.05,-278.0
14.11,-280.0
14.18,-261.0
14.24,-273.0
14.3,-254.0
14.36,-237.0
14.43,-226.0
14.49,-230.0
14.55,-228.0
14.62,-236.0
14.68,-223.0
14.74,-236.0
14.81,-246.0
14.87,-245.0
14.93,-236.0
14.99,-228.0
15.06,-237.0
15.12,-219.0
15.18,-213.0
15.25,-213.0
15.31,-215.0
15.37,-224.0
15.44,-219.0
15.5,-185.0
15.56,-167.0
15.62,-167.0
15.69,-161.0
15.75,-159.0
15.81,-207.0
15.88,-178.0
15.94,-183.0
16.0,-177.0
16.07,-151.0
16.13,-117.0
16.19,-109.0
16.25,-85.0
16.32,-75.0
16.38,-50.0
16.44,-17.0
16.51,-31.0
16.57,-31.0
16.63,-16.0
16.7,7.0
16.76,-6.0
16.82,31.0
16.88,52.0
16.95,50.0
17.01,48.0
17.07,44.0
17.14,83.0
17.2,75.0
17.26,83.0
17.33,82.0
17.39,86.0
17.45,75.0
17.51,90.0
17.58,85.0
17.64,97.0
17.7,83.0
17.77,89.0
17.83,110.0
17.89,107.0
17.96,131.0
18.02,117.0
18.08,114.0
18.14,103.0
18.21,120.0
18.27,109.0
18.33,117.0
18.4,131.0
18.46,118.0
18.52,94.0
18.59,113.0
18.65,102.0
18.71,115.0
18.77,108.0
18.84,112.0
18.9,123.0
18.96,120.0
19.03,125.0
19.09,121.0
19.15,125.0
19.22,106.0
19.28,106.0
19.34,122.0
19.4,113.0
19.47,117.0
19.53,130.0
19.59,134.0
19.66,91.0
19.72,90.0
19.78,101.0
19.84,96.0
19.91,115.0
19.97,108.0
20.03,84.0
20.1,108.0
20.16,72.0
20.22,61.0
20.29,80.0
20.35,67.0
20.41,55.0
20.47,53.0
20.54,29.0
20.6,11.0
20.66,46.0
20.73,17.0
20.79,26.0
20.85,16.0
20.92,31.0
20.98,4.0
21.04,-19.0
21.1,-33.0
21.17,-32.0
21.23,-56.0
21.29,-91.0
21.36,-103.0
21.42,-122.0
21.48,-140.0
21.55,-156.0
21.61,-167.0
21.67,-158.0
21.73,-174.0
21.8,-169.0
21.86,-173.0
21.92,-186.0
21.99,-201.0
22.05,-207.0
22.11,-221.0
22.18,-248.0
22.24,-274.0
22.3,-293.0
22.36,-334.0
22.43,-321.0
22.49,-354.0
22.55,-376.0
22.62,-347.0
22.68,-356.0
22.74,-371.0
22.81,-350.0
22.87,-355.0
22.93,-380.0
22.99,-381.0
23.06,-399.0
23.12,-406.0
23.18,-409.0
23.25,-438.0
23.31,-412.0
23.37,-421.0
23.44,-424.0
23.5,-386.0
23.56,-384.0
23.62,-370.0
23.69,-370.0
23.75,-375.0
23.81,-390.0
23.88,-361.0
23.94,-354.0
24.0,-361.0
24.07,-342.0
24.13,-357.0
24.19,-343.0
24.25,-328.0
24.32,-341.0
24.38,-364.0
24.44,-385.0
24.51,-386.0
24.57,-392.0
24.63,-376.0
24.7,-377.0
24.76,-360.0
24.82,-364.0
24.88,-367.0
24.95,-339.0
25.01,-363.0
25.07,-352.0
25.14,-360.0
25.2,-372.0
25.26,-353.0
25.33,-379.0
25.39,-367.0
25.45,-398.0
25.51,-386.0
25.58,-367.0
25.64,-372.0
25.7,-351.0
25.77,-374.0
25.83,-381.0
25.89,-381.0
25.96,-363.0
26.02,-352.0
26.08,-351.0
26.14,-378.0
26.21,-371.0
26.27,-368.0
26.33,-417.0
26.4,-388.0
26.46,-414.0
26.52,-433.0
26.59,-430.0
26.65,-413.0
26.71,-415.0
26.77,-441.0
26.84,-441.0
26.9,-439.0
26.96,-414.0
27.03,-403.0
27.09,-414.0
27.15,-403.0
27.22,-411.0
27.28,-401.0
27.34,-402.0
27.4,-417.0
27.47,-414.0
27.53,-422.0
27.59,-415.0
27.66,-405.0
27.72,-384.0
27.78,-383.0
27.85,-375.0
27.91,-353.0
27.97,-334.0
28.03,-307.0
28.1,-280.0
28.16,-268.0
28.22,-250.0
28.29,-229.0
28.35,-218.0
28.41,-219.0
28.48,-205.0
28.54,-194.0
28.6,-195.0
28.66,-198.0
28.73,-174.0
28.79,-155.0
28.85,-159.0
28.92,-174.0
28.98,-142.0
29.04,-151.0
29.11,-167.0
29.17,-150.0
29.23,-158.0
29.29,-165.0
29.36,-184.0
29.42,-186.0
29.48,-149.0
29.55,-154.0
29.61,-185.0
29.67,-167.0
29.74,-152.0
29.8,-183.0
29.86,-186.0
29.92,-203.0
29.99,-207.0
30.05,-210.0
30.11,-207.0
30.18,-208.0
30.24,-211.0
30.3,-184.0
30.37,-188.0
30.43,-216.0
30.49,-217.0
30.55,-201.0
30.62,-217.0
30.68,-209.0
30.74,-209.0
30.81,-238.0
30.87,-249.0
30.93,-230.0
31.0,-226.0
31.06,-216.0
31.12,-210.0
31.18,-212.0
31.25,-200.0
31.31,-195.0
31.37,-214.0
31.44,-220.0
31.5,-219.0
31.56,-216.0
31.63,-208.0
31.69,-198.0
31.75,-201.0
31.81,-198.0
31.88,-234.0
31.94,-234.0
32.0,-228.0
32.07,-236.0
32.13,-232.0
32.19,-240.0
32.26,-252.0
32.32,-244.0
32.38,-248.0
32.44,-275.0
32.51,-263.0
32.57,-254.0
32.63,-267.0
32.7,-305.0
32.76,-310.0
32.82,-299.0
32.89,-318.0
32.95,-325.0
33.01,-325.0
33.07,-331.0
33.14,-312.0
33.2,-327.0
33.26,-319.0
33.33,-338.0
33.39,-329.0
33.45,-315.0
33.52,-335.0
33.58,-310.0
33.64,-298.0
33.7,-287.0
33.77,-297.0
33.83,-298.0
33.89,-318.0
33.96,-322.0
34.02,-313.0
34.08,-328.0
34.15,-331.0
34.21,-330.0
34.27,-334.0
34.33,-325.0
34.4,-326.0
34.46,-313.0
34.52,-293.0
34.59,-289.0
34.65,-274.0
34.71,-258.0
34.78,-277.0
34.84,-250.0
34.9,-260.0
34.96,-254.0
35.03,-238.0
35.09,-251.0
35.15,-210.0
35.22,-210.0
35.28,-180.0
35.34,-200.0
35.41,-198.0
35.47,-186.0
35.53,-167.0
35.59,-162.0
35.66,-135.0
35.72,-130.0
35.78,-131.0
35.85,-104.0
35.91,-122.0
35.97,-87.0
36.04,-72.0
36.1,-66.0
36.16,-64.0
36.22,-75.0
36.29,-63.0
36.35,-49.0
36.41,-53.0
36.48,-47.0
36.54,-26.0
36.6,-48.0
36.67,-20.0
36.73,-20.0
36.79,-30.0
36.85,-30.0
36.92,-7.0
36.98,-5.0
37.04,1.0
37.11,12.0
37.17,10.0
37.23,9.0
37.3,-14.0
37.36,-12.0
37.42,-12.0
37.48,-12.0
37.55,-8.0
37.61,-1.0
37.67,23.0
37.74,8.0
37.8,3.0
37.86,28.0
37.93,61.0
37.99,51.0
38.05,57.0
38.12,72.0
38.18,91.0
38.24,100.0
38.3,101.0
38.37,126.0
38.43,141.0
38.49,121.0
38.56,117.0
38.62,129.0
38.68,132.0
38.75,145.0
38.81,148.0
38.87,159.0
38.93,160.0
39.0,155.0
39.06,146.0
39.12,153.0
39.19,146.0
39.25,138.0
39.31,132.0
39.38,123.0
39.44,115.0
39.5,121.0
39.56,129.0
39.63,127.0
39.69,108.0
39.75,130.0
39.82,121.0
39.88,99.0
39.94,122.0
40.01,118.0
40.07,90.0
40.13,80.0
40.19,75.0
40.26,70.0
40.32,57.0
40.38,61.0
40.45,61.0
40.51,82.0
40.57,66.0
40.64,49.0
40.7,49.0
40.76,48.0
40.82,32.0
40.89,22.0
40.95,21.0
41.01,21.0
41.08,22.0
41.14,25.0
41.2,38.0
41.27,38.0
41.33,28.0
41.39,42.0
41.45,35.0
41.52,24.0
41.58,14.0
41.64,7.0
41.71,-5.0
41.77,-14.0
41.83,-6.0
41.9,-21.0
41.96,-17.0
42.02,-14.0
42.08,-34.0
42.15,-14.0
42.21,-19.0
42.27,-30.0
42.34,-37.0
42.4,-51.0
42.46,-42.0
42.53,-52.0
42.59,-43.0
42.65,-33.0
42.71,-60.0
42.78,-74.0
42.84,-77.0
42.9,-73.0
42.97,-75.0
43.03,-93.0
43.09,-100.0
43.16,-84.0
43.22,-105.0
43.28,-102.0
43.34,-108.0
43.41,-132.0
43.47,-144.0
43.53,-152.0
43.6,-171.0
43.66,-175.0
43.72,-184.0
43.79,-209.0
43.85,-197.0
43.91,-225.0
43.97,-205.0
44.04,-225.0
44.1,-259.0
44.16,-238.0
44.23,-253.0
44.29,-286.0
44.35,-287.0
44.42,-280.0
44.48,-305.0
44.54,-314.0
44.6,-331.0
44.67,-312.0
44.73,-328.0
44.79,-347.0
44.86,-343.0
44.92,-358.0
44.98,-366.0
45.05,-380.0
45.11,-372.0
45.17,-372.0
45.23,-372.0
45.3,-366.0
45.36,-356.0
45.42,-359.0
45.49,-365.0
45.55,-397.0
45.61,-394.0
45.68,-355.0
45.74,-362.0
45.8,-374.0
45.86,-358.0
45.93,-363.0
45.99,-376.0
46.05,-383.0
46.12,-364.0
46.18,-362.0
46.24,-367.0
46.31,-366.0
46.37,-382.0
46.43,-370.0
46.49,-346.0
46.56,-321.0
46.62,-334.0
46.68,-337.0
46.75,-331.0
46.81,-325.0
46.87,-325.0
46.94,-315.0
47.0,-319.0
47.06,-328.0
47.12,-300.0
47.19,-272.0
47.25,-262.0
47.31,-258.0
47.38,-241.0
47.44,-233.0
47.5,-229.0
47.57,-225.0
47.63,-227.0
47.69,-225.0
47.75,-225.0
47.82,-237.0
47.88,-228.0
47.94,-219.0
48.01,-227.0
48.07,-214.0
48.13,-194.0
48.2,-183.0
48.26,-189.0
48.32,-186.0
48.38,-159.0
48.45,-157.0
48.51,-163.0
48.57,-132.0
48.64,-128.0
