timestamp,intensity
0,30891.0
0.06,30876.0
0.13,27023.0
0.19,-950.0
0.25,-25889.0
0.32,-32768.0
0.38,-32768.0
0.44,-32768.0
0.5,-32768.0
0.57,-32768.0
0.63,-32768.0
0.69,-32768.0
0.76,-11312.0
0.82,7460.0
0.88,30982.0
0.94,30967.0
1.01,30952.0
1.07,30937.0
1.13,30922.0
1.2,30907.0
1.26,29917.0
1.32,30878.0
1.39,19950.0
1.45,21479.0
1.51,20496.0
1.57,6647.0
1.64,-10177.0
1.7,-27280.0
1.76,-32768.0
1.83,-32768.0
1.89,-32768.0
1.95,-32768.0
2.02,-32768.0
2.08,-32768.0
2.14,-12712.0
2.2,7482.0
2.27,29187.0
2.33,30939.0
2.39,30924.0
2.46,30909.0
2.52,30894.0
2.58,26226.0
2.65,6832.0
2.71,-5430.0
2.77,-13960.0
2.84,-15313.0
2.9,-16958.0
2.96,-15440.0
3.02,-17418.0
3.09,-21384.0
3.15,-24114.0
3.21,-29708.0
3.28,-32768.0
3.34,-32768.0
3.4,-32768.0
3.47,-32768.0
3.53,-29470.0
3.59,-24020.0
3.65,2635.0
3.72,30672.0
3.78,31021.0
3.84,31006.0
3.91,30991.0
3.97,30976.0
4.03,20641.0
4.1,1663.0
4.16,-20768.0
4.22,-32768.0
4.28,-32768.0
4.35,-32768.0
4.41,-32768.0
4.47,-21098.0
4.54,-4492.0
4.6,9705.0
4.66,19353.0
4.73,21696.0
4.79,24130.0
4.85,25997.0
4.91,27989.0
4.98,30978.0
5.04,30963.0
5.1,30948.0
5.17,30933.0
5.23,30918.0
5.29,30903.0
5.35,30888.0
5.42,27979.0
5.48,2136.0
5.54,-23391.0
5.61,-32768.0
5.67,-32768.0
5.73,-32768.0
5.8,-32768.0
5.86,-32768.0
5.92,-32768.0
5.98,-32768.0
6.05,-8761.0
6.11,18735.0
6.17,30984.0
6.24,30969.0
6.3,30954.0
6.36,30939.0
6.43,30924.0
6.49,30870.0
6.55,28469.0
6.61,25083.0
6.68,18307.0
6.74,25862.0
6.8,21637.0
6.87,6934.0
6.93,-8072.0
6.99,-28810.0
7.06,-32768.0
7.12,-32768.0
7.18,-32768.0
7.24,-32768.0
7.31,-32768.0
7.37,-32768.0
7.43,-10758.0
7.5,12881.0
7.56,30953.0
7.62,30938.0
7.69,30923.0
7.75,30908.0
7.81,30893.0
7.87,19059.0
7.94,-434.0
8.0,-10883.0
8.06,-18254.0
8.13,-17408.0
8.19,-15323.0
8.25,-13382.0
8.32,-16048.0
8.38,-18434.0
8.44,-23399.0
8.5,-32048.0
8.57,-32768.0
8.63,-32768.0
8.69,-32768.0
8.76,-32768.0
8.82,-32768.0
8.88,-19563.0
8.95,15970.0
9.01,31037.0
9.07,31022.0
9.13,31007.0
9.2,30992.0
9.26,30977.0
9.32,14754.0
9.39,-8366.0
9.45,-25452.0
9.51,-32768.0
9.58,-32768.0
9.64,-32768.0
9.7,-32768.0
9.77,-15679.0
9.83,-277.0
9.89,12310.0
9.95,17311.0
10.02,20639.0
10.08,22279.0
10.14,24794.0
10.21,31000.0
10.27,30985.0
10.33,30970.0
10.4,30955.0
10.46,30940.0
10.52,30925.0
10.58,30910.0
10.65,30895.0
10.71,19438.0
10.77,-6174.0
10.84,-31317.0
10.9,-32768.0
10.96,-32768.0
11.03,-32768.0
11.09,-32768.0
11.15,-32768.0
11.21,-32768.0
11.28,-27373.0
11.34,-4671.0
11.4,23889.0
11.47,30996.0
11.53,30981.0
11.59,30966.0
11.66,30951.0
11.72,30936.0
11.78,30921.0
11.84,30906.0
11.91,23891.0
11.97,20135.0
12.03,25855.0
12.1,17730.0
12.16,1278.0
12.22,-14629.0
12.29,-32768.0
12.35,-32768.0
12.41,-32768.0
12.47,-32768.0
12.54,-32768.0
12.6,-32768.0
12.66,-29129.0
12.73,-5699.0
12.79,17034.0
12.85,30966.0
12.92,30951.0
12.98,30936.0
13.04,30921.0
13.1,30906.0
13.17,17553.0
13.23,1054.0
13.29,-9293.0
13.36,-16334.0
13.42,-16630.0
13.48,-16463.0
13.55,-17373.0
13.61,-22985.0
13.67,-25844.0
13.73,-31005.0
13.8,-32768.0
13.86,-32768.0
13.92,-32768.0
13.99,-32768.0
14.05,-32768.0
14.11,-20495.0
14.18,338.0
14.24,27193.0
14.3,31041.0
14.36,31026.0
14.43,31011.0
14.49,30996.0
14.55,29000.0
14.62,6823.0
14.68,-11977.0
14.74,-30153.0
14.81,-32768.0
14.87,-32768.0
14.93,-32768.0
14.99,-31404.0
15.06,-16530.0
15.12,-2312.0
15.18,9200.0
15.25,15688.0
15.31,20944.0
15.37,27196.0
15.44,31026.0
15.5,31011.0
15.56,30996.0
15.62,30981.0
15.69,30966.0
15.75,30951.0
15.81,30936.0
15.88,30921.0
15.94,30906.0
16.0,13784.0
16.07,-13650.0
16.13,-32768.0
16.19,-32768.0
16.25,-32768.0
16.32,-32768.0
16.38,-32768.0
16.44,-32768.0
16.51,-32768.0
16.57,-26198.0
16.63,-4025.0
16.7,24784.0
16.76,31013.0
16.82,30998.0
16.88,30983.0
16.95,30968.0
17.01,30953.0
17.07,30938.0
17.14,30923.0
17.2,26617.0
17.26,19335.0
17.33,23054.0
17.39,12467.0
17.45,-5267.0
17.51,-21429.0
17.58,-32768.0
17.64,-32768.0
17.7,-32768.0
17.77,-32768.0
17.83,-32768.0
17.89,-32768.0
17.96,-27091.0
18.02,-2863.0
18.08,19328.0
18.14,30989.0
18.21,30974.0
18.27,30959.0
18.33,30944.0
18.4,30929.0
18.46,20496.0
18.52,3080.0
18.59,-8638.0
18.65,-16424.0
18.71,-18958.0
18.77,-19830.0
18.84,-20830.0
18.9,-25080.0
18.96,-27255.0
19.03,-31153.0
19.09,-32768.0
19.15,-32768.0
19.22,-32768.0
19.28,-32768.0
19.34,-32768.0
19.4,-26113.0
19.47,-11091.0
19.53,25734.0
19.59,31077.0
19.66,31062.0
19.72,31047.0
19.78,31032.0
19.84,30628.0
19.91,14896.0
19.97,-9703.0
20.03,-30370.0
20.1,-32768.0
20.16,-32768.0
20.22,-32768.0
20.29,-32768.0
20.35,-16190.0
20.41,-2764.0
20.47,13453.0
20.54,19880.0
20.6,23177.0
20.66,28627.0
20.73,31051.0
20.79,31036.0
