timestamp,intensity
0,-221.0
0.06,-233.0
0.13,-236.0
0.19,-229.0
0.25,-220.0
0.32,-219.0
0.38,-221.0
0.44,-201.0
0.5,-203.0
0.57,-205.0
0.63,-202.0
0.69,-202.0
0.76,-220.0
0.82,-211.0
0.88,-212.0
0.94,-231.0
1.01,-204.0
1.07,-201.0
1.13,-184.0
1.2,-184.0
1.26,-194.0
1.32,-173.0
1.39,-179.0
1.45,-180.0
1.51,-161.0
1.57,-171.0
1.64,-165.0
1.7,-163.0
1.76,-154.0
1.83,-162.0
1.89,-170.0
1.95,-166.0
2.02,-161.0
2.08,-162.0
2.14,-162.0
2.2,-180.0
2.27,-175.0
2.33,-182.0
2.39,-181.0
2.46,-198.0
2.52,-206.0
2.58,-186.0
2.65,-208.0
2.71,-199.0
2.77,-204.0
2.84,-226.0
2.9,-215.0
2.96,-216.0
3.02,-199.0
3.09,-178.0
3.15,-185.0
3.21,-184.0
3.28,-178.0
3.34,-188.0
3.4,-185.0
3.47,-189.0
3.53,-208.0
3.59,-197.0
3.65,-201.0
3.72,-206.0
3.78,-179.0
3.84,-187.0
3.91,-204.0
3.97,-197.0
4.03,-186.0
4.1,-172.0
4.16,-202.0
4.22,-185.0
4.28,-180.0
4.35,-214.0
4.41,-224.0
4.47,-211.0
4.54,-191.0
4.6,-213.0
4.66,-217.0
4.73,-211.0
4.79,-200.0
4.85,-199.0
4.91,-183.0
4.98,-193.0
5.04,-185.0
5.1,-205.0
5.17,-215.0
5.23,-203.0
5.29,-209.0
5.35,-196.0
5.42,-192.0
5.48,-202.0
5.54,-230.0
5.61,-202.0
5.67,-219.0
5.73,-219.0
5.8,-243.0
5.86,-239.0
5.92,-234.0
5.98,-220.0
6.05,-209.0
6.11,-213.0
6.17,-210.0
6.24,-216.0
6.3,-207.0
6.36,-205.0
6.43,-227.0
6.49,-227.0
6.55,-229.0
6.61,-224.0
6.68,-225.0
6.74,-215.0
6.8,-241.0
6.87,-235.0
6.93,-228.0
6.99,-233.0
7.06,-239.0
7.12,-250.0
7.18,-247.0
7.24,-234.0
7.31,-239.0
7.37,-248.0
7.43,-257.0
7.5,-262.0
7.56,-237.0
7.62,-233.0
7.69,-238.0
7.75,-236.0
7.81,-245.0
7.87,-236.0
7.94,-243.0
8.0,-253.0
8.06,-225.0
8.13,-250.0
8.19,-230.0
8.25,-246.0
8.32,-254.0
8.38,-235.0
8.44,-263.0
8.5,-248.0
8.57,-256.0
8.63,-265.0
8.69,-251.0
8.76,-260.0
8.82,-277.0
8.88,-246.0
8.95,-245.0
9.01,-248.0
9.07,-259.0
9.13,-261.0
9.2,-267.0
9.26,-261.0
9.32,-262.0
9.39,-247.0
9.45,-242.0
9.51,-247.0
9.58,-250.0
9.64,-253.0
9.7,-265.0
9.77,-247.0
9.83,-264.0
9.89,-253.0
9.95,-254.0
10.02,-231.0
10.08,-230.0
10.14,-243.0
10.21,-220.0
10.27,-244.0
10.33,-252.0
10.4,-242.0
10.46,-243.0
10.52,-260.0
10.58,-262.0
10.65,-261.0
10.71,-259.0
10.77,-248.0
10.84,-247.0
10.9,-244.0
10.96,-241.0
11.03,-249.0
11.09,-247.0
11.15,-249.0
11.21,-246.0
11.28,-257.0
11.34,-255.0
11.4,-257.0
11.47,-247.0
11.53,-250.0
11.59,-252.0
11.66,-242.0
11.72,-235.0
11.78,-238.0
11.84,-236.0
11.91,-257.0
11.97,-249.0
12.03,-247.0
12.1,-233.0
12.16,-245.0
12.22,-259.0
12.29,-252.0
12.35,-261.0
12.41,-257.0
12.47,-244.0
12.54,-218.0
12.6,-224.0
12.66,-246.0
12.73,-228.0
12.79,-243.0
12.85,-255.0
12.92,-237.0
12.98,-232.0
13.04,-236.0
13.1,-219.0
13.17,-214.0
13.23,-224.0
13.29,-231.0
