timestamp,intensity
0,-262.0
0.06,-276.0
0.13,-276.0
0.19,-268.0
0.25,-279.0
0.32,-277.0
0.38,-265.0
0.44,-278.0
0.5,-298.0
0.57,-301.0
0.63,-305.0
0.69,-283.0
0.76,-319.0
0.82,-314.0
0.88,-287.0
0.94,-295.0
1.01,-308.0
1.07,-317.0
1.13,-318.0
1.2,-314.0
1.26,-329.0
1.32,-324.0
1.39,-310.0
1.45,-343.0
1.51,-347.0
1.57,-348.0
1.64,-350.0
1.7,-362.0
1.76,-343.0
1.83,-330.0
1.89,-365.0
1.95,-353.0
2.02,-356.0
2.08,-370.0
2.14,-361.0
2.2,-362.0
2.27,-369.0
2.33,-364.0
2.39,-343.0
2.46,-329.0
2.52,-326.0
2.58,-317.0
2.65,-305.0
2.71,-293.0
2.77,-263.0
2.84,-228.0
2.9,-227.0
2.96,-239.0
3.02,-220.0
3.09,-210.0
3.15,-206.0
3.21,-194.0
3.28,-187.0
3.34,-181.0
3.4,-155.0
3.47,-119.0
3.53,-85.0
3.59,-97.0
3.65,-90.0
3.72,-104.0
3.78,-84.0
3.84,-80.0
3.91,-64.0
3.97,-57.0
4.03,-18.0
4.1,-20.0
4.16,-24.0
4.22,-18.0
4.28,-28.0
4.35,-3.0
4.41,-7.0
4.47,11.0
4.54,6.0
4.6,22.0
4.66,32.0
4.73,32.0
4.79,41.0
4.85,37.0
4.91,45.0
4.98,43.0
5.04,31.0
5.1,50.0
5.17,14.0
5.23,-7.0
5.29,-2.0
5.35,-10.0
5.42,-32.0
5.48,-49.0
5.54,-61.0
5.61,-84.0
5.67,-95.0
5.73,-100.0
5.8,-117.0
5.86,-101.0
5.92,-108.0
5.98,-105.0
6.05,-99.0
6.11,-86.0
6.17,-117.0
6.24,-103.0
6.3,-90.0
6.36,-80.0
6.43,-83.0
6.49,-109.0
6.55,-129.0
6.61,-137.0
6.68,-134.0
6.74,-142.0
6.8,-169.0
6.87,-147.0
6.93,-174.0
6.99,-175.0
7.06,-178.0
7.12,-188.0
7.18,-176.0
7.24,-182.0
7.31,-163.0
7.37,-141.0
7.43,-126.0
7.5,-127.0
7.56,-122.0
7.62,-109.0
7.69,-93.0
7.75,-47.0
7.81,-48.0
7.87,-41.0
7.94,-17.0
8.0,-4.0
8.06,12.0
8.13,20.0
8.19,0.0
8.25,23.0
8.32,58.0
8.38,45.0
8.44,47.0
8.5,64.0
8.57,46.0
8.63,18.0
8.69,20.0
8.76,-4.0
8.82,-21.0
8.88,-17.0
8.95,-20.0
9.01,-40.0
9.07,-39.0
9.13,-55.0
9.2,-73.0
9.26,-53.0
9.32,-61.0
9.39,-61.0
9.45,-76.0
9.51,-89.0
9.58,-89.0
9.64,-109.0
9.7,-100.0
9.77,-98.0
9.83,-109.0
9.89,-116.0
9.95,-133.0
10.02,-143.0
10.08,-159.0
10.14,-145.0
10.21,-163.0
10.27,-150.0
10.33,-137.0
10.4,-151.0
10.46,-123.0
10.52,-110.0
10.58,-148.0
10.65,-117.0
10.71,-125.0
10.77,-130.0
10.84,-116.0
10.9,-139.0
10.96,-139.0
11.03,-126.0
11.09,-119.0
11.15,-112.0
11.21,-87.0
11.28,-103.0
11.34,-90.0
11.4,-88.0
11.47,-87.0
11.53,-75.0
11.59,-72.0
11.66,-89.0
11.72,-85.0
11.78,-71.0
11.84,-79.0
11.91,-59.0
11.97,-72.0
12.03,-83.0
12.1,-83.0
12.16,-89.0
12.22,-74.0
12.29,-77.0
12.35,-95.0
12.41,-63.0
12.47,-75.0
12.54,-81.0
12.6,-72.0
12.66,-75.0
12.73,-77.0
12.79,-87.0
12.85,-113.0
12.92,-111.0
12.98,-94.0
13.04,-83.0
13.1,-98.0
13.17,-100.0
13.23,-106.0
13.29,-105.0
13.36,-88.0
13.42,-81.0
13.48,-103.0
13.55,-122.0
13.61,-115.0
13.67,-95.0
13.73,-96.0
13.8,-113.0
13.86,-120.0
13.92,-141.0
13.99,-137.0
14.05,-153.0
14.11,-142.0
14.18,-144.0
14.24,-145.0
14.3,-147.0
14.36,-135.0
14.43,-144.0
14.49,-176.0
14.55,-155.0
14.62,-119.0
14.68,-122.0
14.74,-123.0
14.81,-90.0
14.87,-78.0
14.93,-80.0
14.99,-95.0
15.06,-84.0
15.12,-102.0
15.18,-99.0
15.25,-92.0
15.31,-104.0
15.37,-112.0
15.44,-127.0
15.5,-143.0
15.56,-141.0
15.62,-149.0
15.69,-151.0
15.75,-183.0
15.81,-203.0
15.88,-214.0
15.94,-246.0
16.0,-277.0
