timestamp,intensity
0,-299.0
0.06,-299.0
0.13,-282.0
0.19,-297.0
0.25,-284.0
0.32,-283.0
0.38,-285.0
0.44,-296.0
0.5,-307.0
0.57,-331.0
0.63,-316.0
0.69,-301.0
0.76,-301.0
0.82,-334.0
0.88,-320.0
0.94,-311.0
1.01,-314.0
1.07,-314.0
1.13,-309.0
1.2,-305.0
1.26,-325.0
1.32,-310.0
1.39,-300.0
1.45,-301.0
1.51,-310.0
1.57,-312.0
1.64,-302.0
1.7,-306.0
1.76,-302.0
1.83,-288.0
1.89,-285.0
1.95,-304.0
2.02,-293.0
2.08,-281.0
2.14,-313.0
2.2,-304.0
2.27,-283.0
2.33,-277.0
2.39,-278.0
2.46,-280.0
2.52,-275.0
2.58,-292.0
2.65,-299.0
2.71,-306.0
2.77,-296.0
2.84,-261.0
2.9,-296.0
2.96,-298.0
3.02,-288.0
3.09,-281.0
3.15,-254.0
3.21,-271.0
3.28,-276.0
3.34,-258.0
3.4,-265.0
3.47,-261.0
3.53,-245.0
3.59,-254.0
3.65,-262.0
3.72,-278.0
3.78,-291.0
3.84,-272.0
3.91,-256.0
3.97,-279.0
4.03,-270.0
4.1,-272.0
4.16,-303.0
4.22,-293.0
4.28,-292.0
4.35,-287.0
4.41,-284.0
4.47,-274.0
4.54,-270.0
4.6,-306.0
4.66,-302.0
4.73,-293.0
4.79,-298.0
4.85,-288.0
4.91,-300.0
4.98,-294.0
5.04,-304.0
5.1,-302.0
5.17,-288.0
5.23,-285.0
5.29,-278.0
5.35,-285.0
5.42,-259.0
5.48,-255.0
5.54,-268.0
5.61,-257.0
5.67,-242.0
5.73,-269.0
5.8,-243.0
5.86,-255.0
5.92,-261.0
5.98,-244.0
6.05,-271.0
6.11,-260.0
6.17,-248.0
6.24,-238.0
6.3,-254.0
6.36,-279.0
6.43,-295.0
6.49,-284.0
6.55,-255.0
6.61,-251.0
6.68,-256.0
6.74,-242.0
6.8,-250.0
6.87,-260.0
6.93,-260.0
6.99,-245.0
7.06,-248.0
7.12,-262.0
7.18,-266.0
7.24,-272.0
7.31,-275.0
7.37,-278.0
7.43,-272.0
7.5,-296.0
7.56,-295.0
7.62,-292.0
7.69,-287.0
7.75,-285.0
7.81,-314.0
7.87,-307.0
7.94,-304.0
8.0,-293.0
8.06,-272.0
8.13,-258.0
8.19,-260.0
8.25,-275.0
8.32,-267.0
8.38,-265.0
8.44,-290.0
8.5,-278.0
8.57,-277.0
8.63,-263.0
8.69,-239.0
8.76,-249.0
8.82,-263.0
8.88,-255.0
8.95,-266.0
9.01,-254.0
9.07,-278.0
9.13,-280.0
9.2,-286.0
9.26,-278.0
9.32,-265.0
9.39,-263.0
9.45,-264.0
9.51,-287.0
9.58,-261.0
9.64,-263.0
9.7,-264.0
9.77,-265.0
9.83,-279.0
9.89,-254.0
9.95,-267.0
10.02,-270.0
10.08,-263.0
10.14,-265.0
10.21,-249.0
10.27,-266.0
10.33,-257.0
10.4,-255.0
10.46,-279.0
10.52,-281.0
10.58,-267.0
10.65,-285.0
10.71,-292.0
10.77,-305.0
10.84,-293.0
10.9,-269.0
10.96,-281.0
11.03,-263.0
11.09,-279.0
11.15,-269.0
11.21,-260.0
11.28,-240.0
